goal_id,match_id,minute,scoring_team_id,scorer_player_id,goal_type,score_home_after,score_away_after
19eaf7c0-5e6a-4c5f-8bae-4db6238e2e0d,9982573,16,12825,75529,normal,1,0
5ad62da1-23e6-4d58-a9e8-34d3900bd391,9982573,20,12759,274076,normal,1,1
9b0fd978-9060-44ef-8d2f-4efed3103ab0,9982573,35,12825,273346,normal,2,1
861e8d47-d218-4c8b-ba20-d5fce0385d14,9982573,36,12759,274076,normal,2,2
b6d7a796-c22a-4e78-8425-04fbbb07db04,9982579,38,12725,73457,normal,1,0
cdf0da0a-414b-4e07-a886-96dc6de61ff0,9982579,67,12725,73457,normal,2,0
e29aa685-7f8c-4153-a079-243266066be1,9982579,75,12622,275527,normal,2,1
f657027f-a4d1-409d-8900-0b4e6e32d67a,9982580,13,13927,276606,normal,0,1
ceda5e60-f9e2-4568-b523-0e16d89398ac,9982580,40,12947,74668,normal,1,1
c62d0921-06ce-47eb-94d2-ce513639614a,9982577,6,12803,278251,normal,1,0
0684135f-aa6a-406a-afc6-90217a6b4256,9982577,7,12803,278251,normal,2,0
3547a283-3be6-4f46-b7b0-ce8017caffa0,9982577,19,12803,21912554,normal,3,0
e13804bb-4e5d-4223-8673-842f7bd0bc7d,9982577,35,12803,74333,normal,4,0
1842aa3c-2ce2-4ab8-8a6a-6e7ad2040c8b,9982577,51,30056,274882,normal,4,1
5656f81b-9cad-4087-b49c-c2cdfc46aba7,9982577,69,12803,278251,normal,5,1
eca98550-e832-40a6-a029-b5558cd08134,9982577,83,12803,61542,normal,6,1
76fee3d0-8b73-4d2a-8764-3405d4ebcfc9,9982581,5,13849,272001,normal,0,1
833d6533-e49b-473f-aa5d-071dd7f29913,9982581,48,13849,273344,normal,0,2
9bcb3c28-db2b-41cd-9cb1-868425892ae8,9982581,59,13849,73531,normal,0,3
cf636d54-8861-4f73-9594-e52d3490c36d,9982581,68,14815,77519,normal,1,3
8926226f-63eb-403d-8e94-b8ddf0a8d2d0,9982575,17,9582,74743,normal,0,1
6d16a281-5c35-43d7-85c3-e763bded1c80,9982575,30,9582,77889,normal,0,2
e03fda53-c26e-4a8e-96bb-8938cbfc9eb9,9982575,40,9582,72748,normal,0,3
8b007aca-da7c-4d56-a0cd-0ed5304f9ac9,9982576,50,12647,58882,normal,1,0
d878c969-7ba5-4e11-8b33-6970a4dc0b63,9982576,73,14132,275076,normal,1,1
2ef21e9e-81b8-4e8c-8ced-7cf0694b3571,9982574,9,13261,60567,normal,1,0
a7c5631c-94f8-4e4b-9856-1f848780b942,9982574,13,13261,60567,normal,2,0
80eda04f-ff74-479a-bd39-70bc9594cef2,9982574,36,13673,273055,normal,2,1
3cc45814-2f94-4774-be47-85f010940b4e,9982574,39,13673,274493,normal,2,2
a75f2b26-6c7a-445f-a2ed-ec7c8d9f673d,9982574,45,13673,67101,normal,2,3
a91d8b52-101d-4060-8e4b-3800aec9b5d8,9982574,75,13673,274249,normal,2,4
1ea2b1cc-f75c-41c4-8bce-58174646ad00,9982574,79,13261,346968,normal,3,4
22c0b35f-8f36-4c32-addb-cea8ab221dc0,9982578,9,15127,276350,normal,1,0
42de5124-c2f7-46a0-8827-d0a730f52ad3,9982578,14,13687,21748684,own_goal,1,1
ea10ccfb-06e5-49d3-9d0d-db12e6da6848,9982578,30,13687,73153,normal,1,2
f5fc2e58-92e8-4d07-b495-c78687e43210,9982578,48,13687,276800,normal,1,3
ef8e39f0-1512-4c4d-ab05-451a7af97109,9982578,68,13687,63166,normal,1,4
658e5f3f-0133-4c94-96e1-b526117bd992,9982578,76,13687,63099,normal,1,5
cab1f4db-7fa8-4498-9301-92ee1a94e582,9982578,79,13687,63099,normal,1,6
3884d17b-7a9b-4600-b93b-16fbbb79a77e,9982590,25,12947,275423,normal,0,1
630621e0-7e5e-4b23-817e-f5a749fd979f,9982590,27,12947,275423,normal,0,2
a0a9c77d-a473-4cb6-9492-5564af91eaa8,9982590,50,12947,22366830,normal,0,3
78336c4e-fd0a-440a-8bdc-4f9ce68c167a,9982590,77,12947,74668,normal,0,4
581d5e23-d1db-4616-8540-807118ae20b9,9982583,44,12825,272437,normal,0,1
e1ca8b67-c72e-4abd-8c88-778ed4bdb20b,9982583,66,13673,274615,normal,1,1
2c3e237d-246b-4690-b9b2-431fc0b26629,9982583,72,12825,274556,normal,1,2
8c062d74-c4dc-4699-b5c5-9268afcf76f8,9982588,59,12622,74024,normal,1,0
