stadium_id,name,city,field_type
3195,GOBELA,,Hierba Artificial
3389,C.D.SAN VICENTE,,Hierba Artificial
4149,ASTOLA 1,,Hierba Artificial
4167,LA SIEBE,,Hierba Artificial
4169,SAN VICENTE C.D.M.,,Hierba Artificial
4171,IBARRETA,,Hierba Artificial
4175,SAN MIGUEL,,Hierba Artificial
4179,MAIONA A,,Hierba Artificial
4182,SALINILLAS,,Hierba Artificial
4208,GOBELA,,Hierba Artificial
4213,URBIETA 1 - Gernika,,Hierba Artificial
4218,SARRIENA 1,,Hierba Artificial
4263,IPARRALDE,,Hierba Artificial
4273,LOS LLANOS,,Hierba Artificial
4355,ASTOLA 2,,Hierba Artificial
4360,URBIETA 2 - Gernika,,Hierba Artificial
4393,ETXEZURI,,Hierba Artificial
4413,SAN LORENZO,,Hierba Artificial
4416,IPARRALDE-URDULIZ,,Hierba Artificial
4715,LEZAMA 7,,Hierba Artificial
4853,LEZAMA 8,,Hierba Artificial
5105,"MALLONA ""A""",,Hierba Artificial
5162,SAN MIGUEL BASAURI,,Hierba Artificial
